name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Cura Smiles,"
2111 W Loop S Ste 130, Houston, TX 77027, United States",,Houston,+1 832-767-3331,https://mycurasmiles.com/?utm_source=Google&utm_medium=organic&utm_campaign=GoogleBusinessProfile,4.9,443,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Cura+Smiles/data=!4m7!3m6!1s0x8640c3d06c8a2da1:0xb4c6f8a570bb6db6!8m2!3d29.7452789!4d-95.4563457!16s%2Fg%2F11b5qsly9r!19sChIJoS2KbNDDQIYRtm27cKX4xrQ?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:28.853588,https://www.facebook.com/CuraSmilesDental,https://www.instagram.com/curasmilesdental,,443,8,,9,no,Large team (8 doctors)
Emergency Dental Center,"
4151 Southwest Fwy #130, Houston, TX 77027, United States",,Houston,+1 713-829-5508,https://www.emergencydentalcenter.com/,4.9,111,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Emergency+Dental+Center/data=!4m7!3m6!1s0x8640c1bb11cf78e5:0x978f959d2d6c129c!8m2!3d29.7282632!4d-95.4441381!16s%2Fg%2F11h84ssp1k!19sChIJ5XjPEbvBQIYRnBJsLZ2Vj5c?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:32.500408,https://www.facebook.com/Emergency-Dental-center-103068188019551,https://www.instagram.com/emergencydentalcenter,,111,,,10,yes,Has online booking; Has online booking
Hassid Dental,"
2415 W Alabama St Suite 210, Houston, TX 77098, United States",,Houston,+1 713-526-2555,http://hassiddental.com/,5.0,295,Dentist,Show open hours for the week,https://www.google.com/maps/place/Hassid+Dental/data=!4m7!3m6!1s0x8640c0ed0d95f565:0x7d6ea83aecb57fe6!8m2!3d29.7378444!4d-95.4169277!16s%2Fg%2F1hg4vnhgt!19sChIJZfWVDe3AQIYR5n-17Dqobn0?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:37.180740,,,,295,1,,6,no,Single practitioner; No social media; No SSL; Thin content
Luxadent,"
5115 Buffalo Speedway Suite 700, Houston, TX 77005, United States",,Houston,+1 832-462-6484,https://myluxadent.com/,4.9,292,Dentist,Show open hours for the week,https://www.google.com/maps/place/Luxadent/data=!4m7!3m6!1s0x8640c0f9bae3cd93:0x9403a4b6a051a3a5!8m2!3d29.728132!4d-95.4271301!16s%2Fg%2F11b6lkl8tc!19sChIJk83juvnAQIYRpaNRoLakA5Q?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:47.747540,https://www.facebook.com/Luxadent,https://www.instagram.com/luxadent,,292,50,,10,yes,Has online booking; Large team (50 doctors); Has online booking
Gloss Dentistry at Greenway,"
3700 Buffalo Speedway, Houston, TX 77098, United States",,Houston,+1 713-850-9699,https://dentistgreenway.com/,4.8,133,Dentist,Show open hours for the week,https://www.google.com/maps/place/Gloss+Dentistry+at+Greenway/data=!4m7!3m6!1s0x8640c0fba1490221:0x544fde5f434e003d!8m2!3d29.7324024!4d-95.4294232!16s%2Fg%2F1tvq4hxl!19sChIJIQJJofvAQIYRPQBOQ1_eT1Q?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:52.318666,,,,133,,,3,no,No social media; No mobile viewport; Thin content
Houstonian Dental,"
4101 Greenbriar Dr #155, Houston, TX 77098, United States",,Houston,+1 713-597-4015,https://www.houstoniandental.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite,4.7,270,Dentist,Show open hours for the week,https://www.google.com/maps/place/Houstonian+Dental/data=!4m7!3m6!1s0x8640c08b994af4ef:0xbf1db3599e2035ce!8m2!3d29.729508!4d-95.412356!16s%2Fg%2F1tdqbz5l!19sChIJ7_RKmYvAQIYRzjUgnlmzHb8?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:54:56.797313,,,,270,,,0,no,Website timeout
Royal Oaks Dentistry,"
11540 Harwin Dr., Houston, TX 77072, United States",,Houston,+1 281-983-5677,http://royaloaksdentistry.com/,5.0,265,Dentist,Show open hours for the week,https://www.google.com/maps/place/Royal+Oaks+Dentistry/data=!4m7!3m6!1s0x8640dd20ce715e07:0x3fc751f8d6ce8d5e!8m2!3d29.7160006!4d-95.5777384!16s%2Fg%2F1tf7myxr!19sChIJB15xziDdQIYRXo3O1vhRxz8?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:09.955073,https://www.facebook.com/RoyalOaksDentistry,,,265,14,,8,no,Large team (14 doctors); Facebook only; No SSL
Tamborello Dental Associates,"
2150 Richmond Ave. #100, Houston, TX 77098, United States",,Houston,+1 713-522-7540,http://tamborellodental.com/,5.0,493,Dentist,Show open hours for the week,https://www.google.com/maps/place/Tamborello+Dental+Associates/data=!4m7!3m6!1s0x8640c08d0ecb8693:0xdce9d702ddd88791!8m2!3d29.7345145!4d-95.4126442!16s%2Fg%2F1vcq7zxw!19sChIJk4bLDo3AQIYRkYfY3QLX6dw?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:14.245582,https://www.facebook.com/thehoustondentist,https://www.instagram.com/thehoustondentist,,493,41,,8,no,Large team (41 doctors); No SSL
"Travis Walding, DDS","
550 Westcott St Suite 448, Houston, TX 77007, United States",,Houston,+1 713-975-9933,http://www.waldingdds.com/,5.0,66,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Travis+Walding,+DDS/data=!4m7!3m6!1s0x8640c1b3a3fe3d1b:0x292ce0bcdd8cec57!8m2!3d29.7669429!4d-95.4213244!16s%2Fg%2F11hz9l5ntt!19sChIJGz3-o7PBQIYRV-yM3bzgLCk?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:55:19.600640,https://www.facebook.com/TravisWaldingDDS,https://www.instagram.com/travis_walding_dds,,66,10,,8,yes,Has online booking; Large team (10 doctors); No SSL; Has online booking
Dentistry Of The Oaks,"
1717 W 34th St Suite 450, Houston, TX 77018, United States",,Houston,+1 832-906-8738,https://www.dentistryoftheoaks.com/,4.9,406,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentistry+Of+The+Oaks/data=!4m7!3m6!1s0x8640c7ffd83ec051:0x9d97a05cebf3ec31!8m2!3d29.8165312!4d-95.4289446!16s%2Fg%2F11g4byfl72!19sChIJUcA-2P_HQIYRMezz61ygl50?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:35.283039,https://www.facebook.com/DentistryoftheOaks,https://www.instagram.com/dentistryoftheoaks,,406,8,,9,no,Large team (8 doctors)
WellSmiles DYNTL at Greenway,"
3 Greenway Plz c120, Houston, TX 77046, United States",,Houston,+1 713-437-3902,https://www.wellsmilesgreenway.com/,4.8,133,Dentist,Show open hours for the week,https://www.google.com/maps/place/WellSmiles+DYNTL+at+Greenway/data=!4m7!3m6!1s0x8640c15a0124b3df:0x2e60e5260c8439bd!8m2!3d29.7315913!4d-95.4313081!16s%2Fg%2F11fr2zsx8t!19sChIJ37MkAVrBQIYRvTmEDCblYC4?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:45.875332,https://www.facebook.com/WellSmilesDYNTLatGreenway,https://www.instagram.com/wellsmilesgreenway,,133,1,,9,yes,Has online booking; Single practitioner
Splendid Dental Care,"
3991 Richmond Ave., Houston, TX 77027, United States",,Houston,+1 713-244-7797,https://www.splendiddentistrybellaire.com/,4.6,332,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Splendid+Dental+Care/data=!4m7!3m6!1s0x8640c1047ff7c9f3:0xf3bd1e4eb170222!8m2!3d29.7322541!4d-95.4411314!16s%2Fg%2F11f4pmdrs9!19sChIJ88n3fwTBQIYRIgIX6-TROw8?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:50.482861,https://www.facebook.com/LovettDental,https://www.instagram.com/lovettdentalbeaumont,,332,,,9,no,
Granberry Dental,"
3883 Southwest Fwy, Houston, TX 77027, United States",,Houston,+1 713-629-0900,http://www.granberrydentalinc.com/,4.9,116,Dentist,Show open hours for the week,https://www.google.com/maps/place/Granberry+Dental/data=!4m7!3m6!1s0x8640c101778d69ef:0x3c83cead9af45249!8m2!3d29.728322!4d-95.438531!16s%2Fg%2F1tddb6z2!19sChIJ72mNdwHBQIYRSVL0mq3Ogzw?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:55:55.702852,https://www.facebook.com/profile.php,,,116,13,,8,no,Large team (13 doctors); Facebook only; No SSL
Teil Lew DDS,"
2211 Norfolk St Suite 202, Houston, TX 77098, United States",,Houston,+1 713-781-7811,,5.0,43,Dentist,Show open hours for the week,https://www.google.com/maps/place/Teil+Lew+DDS/data=!4m7!3m6!1s0x8640c0f90e30f651:0xe5c26715eedb1d5!8m2!3d29.7321343!4d-95.4133455!16s%2Fg%2F1tfn33ht!19sChIJUfYwDvnAQIYR1bHtXnEmXA4?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:10.659039,,,,43,,,0,,No website
Cera Dentistry,"
3636 Greenbriar Dr A200, Houston, TX 77098, United States",,Houston,+1 346-613-2372,https://ceradentistryhouston.com/,4.9,329,Dentist,Show open hours for the week,https://www.google.com/maps/place/Cera+Dentistry/data=!4m7!3m6!1s0x8640c1fca2e1bf39:0xd545a0d4ca771da9!8m2!3d29.7339665!4d-95.4134823!16s%2Fg%2F11y3s71x6q!19sChIJOb_hovzBQIYRqR13ytSgRdU?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:14.607505,,,,329,,,5,no,No social media
"Urbach Pediatric Dentistry - Houston, TX","
4101 Greenbriar Dr # 120, Houston, TX 77098, United States",,Houston,+1 713-574-5890,https://urbachpediatricdentistry.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=LocalBusiness,4.9,380,Pediatric dentist,Show open hours for the week,"https://www.google.com/maps/place/Urbach+Pediatric+Dentistry+-+Houston,+TX/data=!4m7!3m6!1s0x8640c08b7471c1bb:0x53409128f5dd2b19!8m2!3d29.72951!4d-95.4123493!16s%2Fg%2F1v2gf42s!19sChIJu8FxdIvAQIYRGSvd9SiRQFM?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:56:18.004688,https://www.facebook.com/tr,https://www.instagram.com/urbach.pediatric.dentistry,,380,,,10,yes,Has online booking; Has online booking
QDT dental,"
4126 Southwest Fwy # 106, Houston, TX 77027, United States",,Houston,+1 713-621-7777,https://www.qualitydentalteam.com/,4.8,296,Dentist,Show open hours for the week,https://www.google.com/maps/place/QDT+dental/data=!4m7!3m6!1s0x8640c3b78c4e6b21:0x36a0c2c114364624!8m2!3d29.7299648!4d-95.4449549!16s%2Fg%2F1v_z98_b!19sChIJIWtOjLfDQIYRJEY2FMHCoDY?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:22.173848,https://www.facebook.com/tr,https://www.instagram.com/dr.arnauaparicio,https://www.tiktok.com/@qdtdental,296,4,,10,yes,Has online booking; Has online booking
Emergency Dentist in Houston | Uptown,"
2400 Mid Ln Suite 350a, Houston, TX 77027, United States",,Houston,+1 346-483-3334,http://emergencydentistinhouston.com/?utm_campaign=local-listings&utm_term=uptown,5.0,2,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Emergency+Dentist+in+Houston+%7C+Uptown/data=!4m7!3m6!1s0x8640c1a08bbfea3f:0xe4c877d1b526e040!8m2!3d29.7432885!4d-95.4504671!16s%2Fg%2F11ry4wtxw5!19sChIJP-q_i6DBQIYRQOAmtdF3yOQ?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:26.614205,,,,2,3,,8,yes,Has online booking; No social media; No SSL; Has online booking
West U Dental Smiles,"
3400 Bissonnet St #285, Houston, TX 77005, United States",,Houston,+1 713-663-7447,https://www.westudental.com/,4.8,163,Dentist,Show open hours for the week,https://www.google.com/maps/place/West+U+Dental+Smiles/data=!4m7!3m6!1s0x8640c0f8b560d265:0x5618f87790ab484e!8m2!3d29.7256638!4d-95.4305345!16s%2Fg%2F1tqty7yk!19sChIJZdJgtfjAQIYRTkirkHf4GFY?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:30.525828,https://www.facebook.com/westudentalTX,,,163,20,,8,no,Large team (20 doctors); Facebook only
Moers Family Dentistry,"
2115 Lexington St, Houston, TX 77098, United States",,Houston,+1 713-524-8800,http://www.moersdental.com/,5.0,295,Dentist,Show open hours for the week,https://www.google.com/maps/place/Moers+Family+Dentistry/data=!4m7!3m6!1s0x8640c08c6e1b301f:0xe923cd0aedeaefb6!8m2!3d29.7314177!4d-95.4113876!16s%2Fg%2F1tg5_03t!19sChIJHzAbbozAQIYRtu_q7QrNI-k?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:39.143695,https://www.facebook.com/pages/Moers-Dental/1400748483520553,,,295,2,,7,no,Facebook only; No SSL
Rachel Joy Speck DDS and Mark Lee Speck DDS,"
3131 Eastside St Suite 470, Houston, TX 77098, United States",,Houston,+1 713-528-6684,http://www.speckdds.com/,4.8,32,Dentist,Show open hours for the week,https://www.google.com/maps/place/Rachel+Joy+Speck+DDS+and+Mark+Lee+Speck+DDS/data=!4m7!3m6!1s0x8640c0ef85240987:0xf2d60826b060e4dd!8m2!3d29.7373137!4d-95.4242593!16s%2Fg%2F1w4vk9q1!19sChIJhwkkhe_AQIYR3eRgsCYI1vI?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:47.455979,,,,32,8,,7,no,Large team (8 doctors); No social media; No SSL
1800 Emergency Dentist Houston 24 Hour,"
3323 Richmond Ave. 2nd floor, Houston, TX 77098, United States",,Houston,+1 346-954-2383,https://1800dentist.com/dentist-houston-520645/?,5.0,24,Emergency dental service,,https://www.google.com/maps/place/1800+Emergency+Dentist+Houston+24+Hour/data=!4m7!3m6!1s0x89c17eb896cfffff:0x21268c65368224f8!8m2!3d29.733708!4d-95.4276437!16s%2Fg%2F11rwxdxb3x!19sChIJ___Plrh-wYkR-CSCNmWMJiE?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:56:51.387724,https://www.facebook.com/1800dentist,,,24,4,,9,no,Facebook only
"Dr. Mary F. Riley, D.D.S., P.C.","
3355 W Alabama St Ste 200, Houston, TX 77098, United States",,Houston,+1 713-622-1707,http://www.maryrileydds.com/,4.0,23,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Dr.+Mary+F.+Riley,+D.D.S.,+P.C./data=!4m7!3m6!1s0x8640c0e4e2ca079f:0x516385a7e2cf4a85!8m2!3d29.7378211!4d-95.427656!16s%2Fg%2F1tjdgl48!19sChIJnwfK4uTAQIYRhUrP4qeFY1E?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:56:56.660671,https://www.facebook.com/drmaryrileydds2,,,23,7,,5,no,Large team (7 doctors); Facebook only; No SSL; Thin content
Lovett Dental,"
5230 Buffalo Speedway Suite B, Houston, TX 77005, United States",,Houston,+1 832-617-5530,https://www.lovettdentistrywestuniversity.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.7,709,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Lovett+Dental/data=!4m7!3m6!1s0x8640c1285241762d:0xb3e74766e3206e0a!8m2!3d29.7265187!4d-95.4283392!16s%2Fg%2F11mvv0q5qc!19sChIJLXZBUijBQIYRCm4g42ZH57M?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:01.533718,https://www.facebook.com/LovettDental,https://www.instagram.com/lovettdentalbeaumont,,709,,,9,no,
Greenway Pediatric Dentistry,"
2990 Richmond Ave. Ste 170, Houston, TX 77098, United States",,Houston,+1 832-678-8489,https://greenwaypediatricdentistry.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=LocalBusiness,5.0,314,Pediatric dentist,Show open hours for the week,https://www.google.com/maps/place/Greenway+Pediatric+Dentistry/data=!4m7!3m6!1s0x8640c11f89204c19:0x4e1e462213c97234!8m2!3d29.7344532!4d-95.4232864!16s%2Fg%2F11gr66vwp3!19sChIJGUwgiR_BQIYRNHLJEyJGHk4?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:05.550941,https://www.facebook.com/Greenway-Pediatric-Dentistry-484496631991630,https://www.instagram.com/greenwaypediatricdentistry,https://www.tiktok.com/@greenwaypedsdent,314,13,,10,yes,Has online booking; Large team (13 doctors); Has online booking
Houston Dental Partners,"
5311 Kirby Dr Suite 207, Houston, TX 77005, United States",,Houston,+1 713-352-0640,https://www.houstondentalpartners.com/,5.0,61,Prosthodontist,Show open hours for the week,https://www.google.com/maps/place/Houston+Dental+Partners/data=!4m7!3m6!1s0x8640c0f588d0c881:0x952563185dff9ff5!8m2!3d29.72486!4d-95.4180509!16s%2Fg%2F1tddsl0c!19sChIJgcjQiPXAQIYR9Z__XRhjJZU?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:09.483322,https://www.facebook.com/RitscoSmiles,https://www.instagram.com/dr.ronritsco,,61,4,,10,yes,Has online booking; Has online booking
River Oaks Family Dentistry,"
8th Floor of Weslayan Tower, 24 Greenway Plz STE 804, Houston, TX 77046, United States",,Houston,+1 713-626-5151,https://riveroaks-dentistry.com/,4.3,23,Dentist,Show open hours for the week,https://www.google.com/maps/place/River+Oaks+Family+Dentistry/data=!4m7!3m6!1s0x8640c0fc8da456d7:0xc3b62daa0055ed3a!8m2!3d29.7302941!4d-95.440683!16s%2Fg%2F1tdpmgcn!19sChIJ11akjfzAQIYROu1VAKottsM?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:14.618863,https://www.facebook.com/share/1DgrgaTeBo,,,23,14,,10,yes,Has online booking; Large team (14 doctors); Facebook only; Has online booking
"Latimer Dental Arts P.C., Dr. Susan Latimer","
2226 Bissonnet St, Houston, TX 77005, United States",,Houston,+1 713-522-3600,http://www.latimerdentalarts.com/,5.0,91,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Latimer+Dental+Arts+P.C.,+Dr.+Susan+Latimer/data=!4m7!3m6!1s0x8640c08a65a73287:0x118a8acc666fe229!8m2!3d29.7258035!4d-95.4117306!16s%2Fg%2F1tdfj1mg!19sChIJhzKnZYrAQIYRKeJvZsyKihE?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:57:18.521791,https://www.facebook.com/DrSusanLatimer,https://www.instagram.com/latimerdentalarts,,91,3,,9,yes,Has online booking; No SSL; Has online booking
Newell D.D.S.,"
4550 Post Oak Pl Dr # 345, Houston, TX 77027, United States",,Houston,+1 713-622-4485,http://newellandflinndds.com/,5.0,143,Dentist,Show open hours for the week,https://www.google.com/maps/place/Newell+D.D.S./data=!4m7!3m6!1s0x8640c13c3d543e65:0xc45e39f242c28c67!8m2!3d29.7506316!4d-95.4506718!16s%2Fg%2F1q2w3qygq!19sChIJZT5UPTzBQIYRZ4zCQvI5XsQ?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:22.765413,,,,143,2,,6,no,No social media; No SSL
Shiny Smile Veneers,"
12 Greenway Plz #1100, Houston, TX 77046, United States",,Houston,+1 281-201-5552,https://www.shinysmileveneers.com/,4.8,2244,Dental laboratory,Show open hours for the week,https://www.google.com/maps/place/Shiny+Smile+Veneers/data=!4m7!3m6!1s0x8640c15169587427:0x6c2cf94994af1e32!8m2!3d29.7317944!4d-95.4367839!16s%2Fg%2F11hy9bg8q8!19sChIJJ3RYaVHBQIYRMh6vlEn5LGw?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:31.988607,https://www.facebook.com/ShinySmileVeneers,https://www.instagram.com/shinysmile_veneers,https://www.tiktok.com/@shinysmileofficial,2244,,,9,no,
Barbosa Juan Carlos DDS,"
2202 Richmond Ave., Houston, TX 77098, United States",,Houston,+1 713-524-6900,http://juancarlosbarbosa.com/,5.0,271,Dentist,Show open hours for the week,https://www.google.com/maps/place/Barbosa+Juan+Carlos+DDS/data=!4m7!3m6!1s0x8640c08d11a3a103:0xccf2151b84d9a53a!8m2!3d29.7344651!4d-95.4130886!16s%2Fg%2F1tdqbz5m!19sChIJA6GjEY3AQIYROqXZhBsV8sw?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:36.231627,http://www.facebook.com/2008/fbml,,,271,7,,7,no,Large team (7 doctors); Facebook only; No SSL
"William Krell, DDS","
3100 Weslayan St #222, Houston, TX 77027, United States",,Houston,+1 713-621-1919,http://www.krelldds.com/,4.8,19,Dentist,Show open hours for the week,"https://www.google.com/maps/place/William+Krell,+DDS/data=!4m7!3m6!1s0x8640c11b6c710e51:0xcc552e7ffaceadeb!8m2!3d29.736916!4d-95.4419929!16s%2Fg%2F1tfk4tn3!19sChIJUQ5xbBvBQIYR663O-n8uVcw?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:57:41.816067,https://www.facebook.com/people/William-Krell-DDS/100057077155843,,,19,8,,8,no,Large team (8 doctors); Facebook only; No SSL
VIP Dental Implants Uptown,"
2400 Mid Ln #350c, Houston, TX 77027, United States",,Houston,+1 346-483-3332,https://dentalimplantsdentures.com/,5.0,18,Dental implants periodontist,Show open hours for the week,https://www.google.com/maps/place/VIP+Dental+Implants+Uptown/data=!4m7!3m6!1s0x8640c1897bfb770f:0xbccb4a0d7794df45!8m2!3d29.7425635!4d-95.450549!16s%2Fg%2F11fhlqtrbp!19sChIJD3f7e4nBQIYRRd-Udw1Ky7w?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:46.287130,,,,18,13,,9,yes,Has online booking; Large team (13 doctors); No social media; Has online booking
Darren Redman DDS,"
19 Briar Hollow Ln Suite 140, Houston, TX 77027, United States",,Houston,+1 713-621-7616,http://www.redmansmiles.com/,5.0,26,Dentist,Show open hours for the week,https://www.google.com/maps/place/Darren+Redman+DDS/data=!4m7!3m6!1s0x8640c13c7c9a2b57:0xfd2e8f0333e7e42c!8m2!3d29.7514948!4d-95.4516576!16s%2Fg%2F1td4q2b2!19sChIJVyuafDzBQIYRLOTnMwOPLv0?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:57:51.059819,,,,26,7,,7,no,Large team (7 doctors); No social media; No SSL
"Roots Houston Endodontics, Shadi Abedin DDS","
1121 Uptown Park Blvd # 19, Houston, TX 77056, United States",,Houston,+1 713-227-6687,http://rootscanal.com/,4.9,76,Endodontist,Show open hours for the week,"https://www.google.com/maps/place/Roots+Houston+Endodontics,+Shadi+Abedin+DDS/data=!4m7!3m6!1s0x8640c1379e923105:0x47be413b75198404!8m2!3d29.7571931!4d-95.4566919!16s%2Fg%2F11byl4x9r7!19sChIJBTGSnjfBQIYRBIQZdTtBvkc?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:57:58.949585,,,,76,21,,5,no,Large team (21 doctors); No social media; No SSL
"Heather Fleschler DDS, FAGD, LVIF","
5252 Westchester Ave # 200, Houston, TX 77005, United States",,Houston,+1 713-660-6500,http://www.drfleschler.com/,4.6,18,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Heather+Fleschler+DDS,+FAGD,+LVIF/data=!4m7!3m6!1s0x8640c0f8ce738769:0xaaf69c38d1faa8ee!8m2!3d29.7263552!4d-95.4306584!16s%2Fg%2F1tdkmm4d!19sChIJaYdzzvjAQIYR7qj60Tic9qo?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:58:03.017965,https://www.facebook.com/heather.f.fleschler,,,18,19,,8,no,Large team (19 doctors); Facebook only; No SSL
Dr. Donald F. Tamborello,"
2150 Richmond Ave. #100, Houston, TX 77098, United States",,Houston,+1 713-522-7540,https://www.thehoustondentist.net/meet-dr-tamborello.html,5.0,13,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dr.+Donald+F.+Tamborello/data=!4m7!3m6!1s0x8640c08d0ecb8693:0xeacb3db01e7ac161!8m2!3d29.7345262!4d-95.4126174!16s%2Fg%2F1td0gx0s!19sChIJk4bLDo3AQIYRYcF6HrA9y-o?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:58:07.108844,,,,13,,,0,no,Website error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://w
Lovett dental,"
Westheimer Rd, Houston, TX 77027, United States",,Houston,+1 713-244-7792,https://www.lovettdental.com/,2.2,10,Dentist,,https://www.google.com/maps/place/Lovett+dental/data=!4m7!3m6!1s0x8640c110d94c4c91:0x716ffac7d71a61e5!8m2!3d29.7411127!4d-95.4408467!16s%2Fg%2F11ny2vw0fx!19sChIJkUxM2RDBQIYR5WEa18f6b3E?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:58:13.162900,https://www.facebook.com/LovettDental,,,10,7,,10,yes,Has online booking; Large team (7 doctors); Facebook only; Has online booking
"Dan Chu, DDS","
3730 Kirby Dr # 401, Houston, TX 77098, United States",,Houston,+1 713-942-8225,http://www.danchudds.com/,4.3,38,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Dan+Chu,+DDS/data=!4m7!3m6!1s0x8640c0f3cc520bf3:0x4dc6642478cd41ea!8m2!3d29.7330038!4d-95.4194112!16s%2Fg%2F1tdyr553!19sChIJ8wtSzPPAQIYR6kHNeCRkxk0?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:58:22.237061,https://www.facebook.com/Dr.DanChuDDS,,,38,12,,8,yes,Has online booking; Large team (12 doctors); Facebook only; No SSL
Pinnacle Pediatric Dentistry Houston,"
3939 Washington Ave #240, Houston, TX 77007, United States",,Houston,+1 713-863-7336,https://pinnaclepediatricdentistry.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,4.6,123,Pediatric dentist,Show open hours for the week,https://www.google.com/maps/place/Pinnacle+Pediatric+Dentistry+Houston/data=!4m7!3m6!1s0x8640c0ac9696eff9:0xda9f4194d6ad2f73!8m2!3d29.7695497!4d-95.4004678!16s%2Fg%2F1tlkcrq_!19sChIJ-e-WlqzAQIYRcy-t1pRBn9o?authuser=0&hl=en&rclk=1,dentist River Oaks Houston TX,2026-02-27T11:58:25.305883,https://www.facebook.com/people/Pinnacle-Pediatric-Dentistry/100042380575623,https://www.instagram.com/pinnaclepediatricdentistry,,123,15,,10,yes,Has online booking; Large team (15 doctors); Has online booking
"Walter Schneider, DDS","
4550 Post Oak Pl Dr # 150, Houston, TX 77027, United States",,Houston,+1 713-960-9852,http://www.walterschneider.com/,5.0,9,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Walter+Schneider,+DDS/data=!4m7!3m6!1s0x8640c13c3d543e65:0x2352ac9d3f9b7f51!8m2!3d29.7506322!4d-95.4509082!16s%2Fg%2F1hhl_qwlt!19sChIJZT5UPTzBQIYRUX-bP52sUiM?authuser=0&hl=en&rclk=1",dentist River Oaks Houston TX,2026-02-27T11:58:33.148155,,,,9,12,,6,no,Large team (12 doctors); No social media; No SSL
